Repositório,Estrelas,Issues Totais,Issues fechadas,Razão de issues fechadas,Mediana
HelloGitHub,98682,2751,2559,0.9302071973827699,0.9291633288437782
terminal,97095,13103,11507,0.87819583301534,0.9288537549407114
angular,96989,28754,27238,0.9472769006051333,0.9291633288437782
material-ui,94822,19826,18153,0.9156158579642893,0.9288537549407114
godot,94126,55093,43756,0.7942206813932805,0.927560518023351
ant-design,93752,30911,29705,0.9609847627058329,0.9288537549407114
excalidraw,92749,3858,2195,0.568947641264904,0.927560518023351
clean-code-javascript,92491,234,163,0.6965811965811965,0.9262672811059908
free-for-dev,92365,Sem dados,Sem dados,Sem dados,0.9262672811059908
papers-we-love,90975,243,243,1.0,0.927560518023351
java-design-patterns,90782,942,816,0.8662420382165605,0.9262672811059908
frp,90643,3701,3645,0.9848689543366658,0.927560518023351
iptv,90363,9864,9765,0.989963503649635,0.9288537549407114
thefuck,90120,745,471,0.6322147651006711,0.927560518023351
puppeteer,89774,7072,6818,0.9640837104072398,0.9288537549407114
