Repositório,Estrelas,Total de Releases,Mediana
framework,33153,801,34
windows,33122,80,34.0
husky,33120,80,34
faiss,33115,18,34.0
easyexcel,33107,14,34
gulp,33082,23,33.5
zxing,33068,31,33
node,33068,2,33.0
fastify,33063,290,33
solid,33026,35,33.5
immutable-js,33020,85,34
leetcode,33015,21,33.5
docs,33015,0,33
NewPipe,32976,135,33.5
Coursera-ML-AndrewNg-Notes,32931,0,33
AgentGPT,32906,12,33.0
JavaScript,32886,0,33
ink-kit,32871,0,33.0
linux-command,32814,29,33
ijkplayer,32744,0,32.5
ShadowsocksX-NG,32635,30,32
carbon-lang,32631,228,32.5
poetry,32606,139,33
payload,32580,486,33.0
milvus,32578,107,33
Python,32560,0,33.0
engineering-blogs,32499,0,33
plane,32469,39,33.0
harness,32461,50,33
legado,32455,115,33.0
awesome-awesomeness,32380,0,33
gpt-pilot,32377,0,33.0
material-design-lite,32291,14,33
zsh-autosuggestions,32279,0,32.5
portainer,32037,137,33
certbot,31941,56,33.0
How-To-Ask-Questions-The-Smart-Way,31939,0,33
polars,31934,202,33.0
openpose,31900,15,33
run,31899,0,32.5
LLM101n,31863,0,32
HEU_KMS_Activator,31859,40,32.5
beego,31834,38,33
chatgpt-web,31834,43,33.0
vault,31802,156,33
my-tv,31778,72,33.0
swc,31703,623,33
mattermost,31690,716,33.5
android-open-project,31678,0,33
shardeum,31652,0,33.0
modern-unix,31624,0,33
selenium,31624,102,33.0
AnotherRedisDesktopManager,31570,53,33
chatbox,31519,47,33.5
ControlNet,31500,0,33
RevokeMsgPatcher,31492,20,33.0
graphql-engine,31362,279,33
jax,31355,118,33.5
awesome-php,31337,0,33
awesome-docker,31330,1,33.0
nps,31281,59,33
C-Plus-Plus,31263,0,33.0
detectron2,31258,10,33
yew,31247,35,33.0
bruno,31242,124,33
jq,31230,13,33.0
serenity,31094,0,33
learnGitBranching,31089,0,33.0
crawl4ai,31079,0,33
swr,31055,118,33.0
rxjs,31028,2,33
fairseq,31021,16,32.5
vimrc,31019,0,32
OpenVoice,30994,0,32.0
html2canvas,30992,45,32
llvm-project,30990,123,32.5
remote-jobs,30976,0,32
MS-DOS,30957,0,32.0
spaCy,30957,127,32
unsloth,30955,11,32.0
jQuery-File-Upload,30949,0,32
HowToLiveLonger,30947,0,32.0
ShareX,30891,80,32
lottie-web,30888,0,32.0
Blog,30886,0,32
nacos,30868,76,32.0
pnpm,30827,983,32
aseprite,30812,114,32.0
pytorch-tutorial,30807,0,32
remix,30764,155,32.0
floating-ui,30687,467,32
etcher,30641,284,32.5
dotfiles,30585,0,32
p3c,30564,0,32.0
WxJava,30558,30,32
LocalAI,30538,69,32.0
outline,30527,141,32
cockroach,30527,0,32.0
libpku,30514,0,32
echo,30493,108,32.0
v2ray-core,30435,100,32
slate,30388,186,32.5
spring-boot-examples,30374,0,32
YesPlayMusic,30359,31,32.0
linux-insides,30345,0,32
lede,30338,6,32.0
CyberChef,30312,447,32
rufus,30307,81,32.0
NeteaseCloudMusicApi,30305,0,32
mmdetection,30292,53,32.0
cline,30271,49,32
browser-use,30115,34,32.5
Sortable,30071,30,32
calculator,30062,0,32.0
symfony,30040,537,32
HEAD,30025,0,32.0
manim,30014,29,32
chatbot-ui,30008,0,32.0
winutil,29990,17,32
layui,29976,136,32.0
full-stack-fastapi-template,29960,10,32
awesome-cto,29954,0,31.5
qBittorrent,29944,0,31
webtorrent,29938,210,31.5
interactive-coding-challenges,29936,0,31
minikube,29935,150,31.5
go-zero,29934,125,32
dokku,29932,294,32.0
bulletproof-react,29929,0,32
refine,29926,1000,32.0
tabby,29908,191,32
sharp,29891,88,32.0
stanford_alpaca,29830,0,32
sequelize,29787,484,32.0
jsPDF,29769,34,32
vue-cli,29757,177,32.5
mpv,29731,86,33
foundation-sites,29720,79,33.0
Real-ESRGAN,29698,10,33
union,29667,76,33.0
fabric.js,29660,165,33
Reactive-Resume,29652,95,33.0
lossless-cut,29646,99,33
bubbletea,29641,55,33.5
Umi-OCR,29599,30,33
