Repositório,Estrelas,Linguagem Primária,Linguagem Primária é Top-10?,Percentual que utiliza linguagem popular
python-cheatsheet,36873,Python,Sim,0.7737556561085973
DeepSpeed,36872,Python,Sim,0.7742663656884876
curl,36870,C,Sim,0.7747747747747747
ant-design-pro,36818,TypeScript,Sim,0.7752808988764045
interview_internal_reference,36794,Python,Sim,0.7757847533632287
pure-bash-bible,36792,Shell,Sim,0.7762863534675615
ultralytics,36783,Python,Sim,0.7767857142857143
awesome-remote-job,36775,Sem informação,Sem informação,0.7767857142857143
aria2,36722,C++,Sim,0.77728285077951
freqtrade,36534,Python,Sim,0.7777777777777778
tmux,36533,C,Sim,0.7782705099778271
penpot,36532,Clojure,Não,0.7765486725663717
istio,36504,Go,Sim,0.7770419426048565
photoprism,36484,Go,Sim,0.7775330396475771
GFPGAN,36341,Python,Sim,0.778021978021978
novu,36309,TypeScript,Sim,0.7785087719298246
JavaFamily,36290,Sem informação,Sem informação,0.7785087719298246
Summer2025-Internships,36236,Sem informação,Sem informação,0.7785087719298246
gradio,36218,Python,Sim,0.7789934354485777
OpenBB,36212,Python,Sim,0.7794759825327511
manifesto,36127,HTML,Não,0.7777777777777778
AI-For-Beginners,36111,Jupyter Notebook,Não,0.7760869565217391
aspnetcore,36107,C#,Sim,0.7765726681127982
taro,36085,TypeScript,Sim,0.7770562770562771
Files,36075,C#,Sim,0.7775377969762419
v,36071,V,Não,0.7758620689655172
trpc,36070,TypeScript,Sim,0.7763440860215054
deeplearningbook-chinese,36067,TeX,Não,0.7746781115879828
GitHubDaily,36051,Sem informação,Sem informação,0.7746781115879828
tesseract.js,36029,JavaScript,Sim,0.7751605995717344
